x ft rt rb rv rl ht hv hb hl 
1.380384264602885214e-01 3.802596176750958762e-02 1.490441464458151788e-01 1.489144620674339170e-01 4.986962689987081004e-02 4.963263427960834528e-02 1.058117741930436087e-20 1.058578380465474342e-20 2.586952156510268045e-20 2.593121065903114473e-20
1.412537544622754770e-01 3.891170020142844382e-02 1.489992240045382721e-01 1.488634646764772917e-01 4.986348558550301319e-02 4.961538245441825257e-02 1.058219971131887986e-20 1.058702394717975591e-20 2.586971461737443648e-20 2.593431508082372614e-20
1.445439770745927943e-01 3.981807013385132987e-02 1.489521965287953498e-01 1.488100794969763885e-01 4.985705513016146229e-02 4.959732350717716703e-02 1.058334774268021971e-20 1.058840020632411267e-20 2.587010602523163616e-20 2.593775595278125003e-20
1.479108388168207944e-01 4.074555213411366200e-02 1.489029659745904621e-01 1.487541954994626436e-01 4.985032193335566658e-02 4.957841997089376673e-02 1.058462068182590543e-20 1.058991224865031509e-20 2.587068853232251246e-20 2.594153258943799427e-20
1.513561248436208762e-01 4.169463796544863737e-02 1.488514297894816540e-01 1.486956965744639647e-01 4.984327175699777845e-02 4.955863266388615268e-02 1.058601825822991054e-20 1.059156032591069388e-20 2.587145600452855609e-20 2.594564574551327504e-20
1.548816618912481902e-01 4.266583084572666412e-02 1.487974807121824061e-01 1.486344612874034021e-01 4.983588969830364535e-02 4.953792062351120712e-02 1.058754073667838392e-20 1.059334525129468641e-20 2.587240335395794304e-20 2.595009755380267064e-20
1.584893192461114264e-01 4.365964571426814156e-02 1.487410065586174945e-01 1.485703626625050344e-01 4.982816015118815556e-02 4.951624101844357556e-02 1.058918889513897844e-20 1.059526837779258604e-20 2.587352647328958369e-20 2.595489147640406242e-20
1.621810097358930558e-01 4.467660950487104682e-02 1.486818900066176063e-01 1.485032679295743008e-01 4.982006678106379316e-02 4.949354907135548182e-02 1.059096400554321927e-20 1.059733158078609549e-20 2.587482217337224331e-20 2.596003226034979095e-20
1.659586907437561321e-01 4.571726142519828145e-02 1.486200083651613990e-01 1.484330382626477540e-01 4.981159248540713291e-02 4.946979797710913257e-02 1.059286781775940696e-20 1.059953724361491120e-20 2.587628813067561876e-20 2.596552590099927182e-20
1.698243652461745024e-01 4.678215324267263886e-02 1.485552333379887291e-01 1.483595285323557889e-01 4.980271936029928570e-02 4.944493880598056085e-02 1.059490254620467787e-20 1.060188824514111714e-20 2.587792283882363733e-20 2.597137961546239319e-20
1.737800828749376247e-01 4.787184957703127797e-02 1.484874307765192136e-01 1.482825870113595179e-01 4.979342866336471801e-02 4.941892042154300002e-02 1.059707085909462874e-20 1.060438795129831852e-20 2.587972556621677278e-20 2.597760181784950745e-20
1.778279410038923758e-01 4.898692819969448220e-02 1.484164604223579820e-01 1.482020551020816757e-01 4.978370077423537043e-02 4.939168937836349582e-02 1.059937587015750871e-20 1.060704020799733741e-20 2.588169631901519027e-20 2.598420210510343286e-20
1.819700858609984429e-01 5.012798034010783332e-02 1.483421756392978019e-01 1.481177670287144310e-01 4.977351515291972978e-02 4.936318982833415303e-02 1.060182113267065543e-20 1.060984933732008168e-20 2.588383580898757585e-20 2.599119124550795023e-20
1.862087136662868569e-01 5.129561099921976092e-02 1.482644231354131870e-01 1.480295495342772438e-01 4.976285029782937658e-02 4.933336341495180022e-02 1.060441063566847896e-20 1.061282013542188375e-20 2.588614542540917637e-20 2.599858117500466349e-20
1.905460717963248229e-01 5.249043927026114664e-02 1.481830426741338191e-01 1.479372215580646022e-01 4.975168370179282318e-02 4.930214916788781820e-02 1.060714880224752755e-20 1.061595787291631046e-20 2.588862721111484985e-20 2.600638499781459058e-20
1.949844599758046582e-01 5.371309866699674335e-02 1.480978667729349607e-01 1.478405939003429037e-01 4.973999180388014030e-02 4.926948339384647907e-02 1.061004048991751246e-20 1.061926829740555363e-20 2.589128384297612415e-20 2.601461699218942661e-20
1.995262314968880846e-01 5.496423745962248503e-02 1.480087203912437421e-01 1.477394688795012623e-01 4.972774994077232280e-02 4.923529956086006992e-02 1.061309099285484159e-20 1.062275763789136334e-20 2.589411861556177598e-20 2.602329262185544667e-20
2.041737944669530513e-01 5.624451901848699642e-02 1.479154206069675792e-01 1.476336399692593226e-01 4.971493229701313965e-02 4.919952818259908794e-02 1.061630604600616230e-20 1.062643261144705004e-20 2.589713542790966221e-20 2.603242855125793045e-20
2.089296130854040867e-01 5.755462216581935103e-02 1.478177762789755212e-01 1.475228914334836550e-01 4.970151184929891969e-02 4.916209669290713680e-02 1.061969183107627922e-20 1.063030043146870711e-20 2.590033877445106096e-20 2.604204266706642403e-20
2.137962089502233598e-01 5.889524153564950487e-02 1.477155876995469297e-01 1.474069979357737759e-01 4.968746031332382795e-02 4.912292932240247545e-02 1.062325498420683544e-20 1.063436881828789734e-20 2.590373373767172593e-20 2.605215410271881516e-20
2.187761623949553980e-01 6.026708794211253772e-02 1.476086462313736802e-01 1.472857241448050636e-01 4.967274808279250470e-02 4.908194696630139436e-02 1.062700260550161598e-20 1.063864601136498925e-20 2.590732598503704898e-20 2.606278326880689548e-20
2.238721138568341151e-01 6.167088875633169875e-02 1.474967339334463112e-01 1.471588243205725899e-01 4.965734416967624437e-02 4.903906705071217620e-02 1.063094227021572824e-20 1.064314078358349341e-20 2.591112176765838372e-20 2.607395188735292721e-20
2.290867652767774876e-01 6.310738829208017986e-02 1.473796231732010520e-01 1.470260418910853961e-01 4.964121614083423506e-02 4.899420339262272606e-02 1.063508204168617687e-20 1.064786245729929856e-20 2.591512792182918232e-20 2.608568303123842749e-20
2.344228815319923942e-01 6.457734820042616841e-02 1.472570762240651698e-01 1.468871090111381061e-01 4.962433004959213023e-02 4.894726605762740601e-02 1.063943048602915419e-20 1.065282092245706559e-20 2.591935187367410306e-20 2.609800116773731103e-20
2.398832919019492360e-01 6.608154787357026216e-02 1.471288448514514180e-01 1.467417461099415898e-01 4.960665036864007199e-02 4.889816121205842886e-02 1.064399668849874475e-20 1.065802665655112365e-20 2.592380164514065971e-20 2.611093220709349178e-20
2.454708915685032411e-01 6.762078485808961648e-02 1.469946698824091680e-01 1.465896614229031947e-01 4.958813991485290507e-02 4.884679097184537605e-02 1.064879027169530799e-20 1.066349074663576646e-20 2.592848586369066045e-20 2.612450355561054707e-20
2.511886431509582351e-01 6.919587527780764191e-02 1.468542807630116576e-01 1.464305505112968309e-01 4.956875977430413166e-02 4.879305324624007290e-02 1.065382141550261471e-20 1.066922491329679226e-20 2.593341377345064109e-20 2.613874417386575491e-20
2.570395782768866155e-01 7.080765426651364214e-02 1.467073951012420330e-01 1.462640957658670748e-01 4.954846922301854584e-02 4.873684157868860001e-02 1.065910087887173827e-20 1.067524153678833064e-20 2.593859524891490483e-20 2.615368463958715961e-20
2.630267991895384183e-01 7.245697641076184747e-02 1.465537181953828483e-01 1.460899658989787964e-01 4.952722564339141070e-02 4.867804498255998841e-02 1.066464002350037983e-20 1.068155368524153072e-20 2.594404081116452152e-20 2.616935721598649007e-20
2.691534803926918240e-01 7.414471620298451748e-02 1.463929425489713942e-01 1.459078154208354738e-01 4.950498443819544014e-02 4.861654777433958158e-02 1.067045083942966441e-20 1.068817514519653619e-20 2.594976164605493446e-20 2.618579592506493149e-20
2.754228703338169049e-01 7.587176850515933713e-02 1.462247473710208689e-01 1.457172841045996092e-01 4.948169893924657392e-02 4.855222940224866723e-02 1.067654597267854383e-20 1.069512045438525254e-20 2.595576962510603791e-20 2.620303662668924200e-20
2.818382931264456492e-01 7.763904902327717350e-02 1.460487980633722871e-01 1.455179964368561174e-01 4.945732031397105655e-02 4.848496427226227368e-02 1.068293875493399596e-20 1.070240493701443031e-20 2.596207732822398569e-20 2.622111710319863748e-20
2.884031503126608942e-01 7.944749479286146443e-02 1.458647456936643660e-01 1.453095610580901476e-01 4.943179746620161158e-02 4.841462157020125917e-02 1.068964323545178369e-20 1.071004474151478271e-20 2.596869806920638975e-20 2.624007715022900863e-20
2.951209226666388630e-01 8.129806467579685225e-02 1.456722264554806412e-01 1.450915701897333154e-01 4.940507693347517826e-02 4.834106508178977191e-02 1.069667421522545695e-20 1.071805688103735660e-20 2.597564592343671125e-20 2.625995867361870423e-20
3.019951720402019313e-01 8.319173986873043547e-02 1.454708611156708686e-01 1.448635990513835181e-01 4.937710277978005907e-02 4.826415300998430219e-02 1.070404728355370471e-20 1.072645927673961295e-20 2.598293575805554509e-20 2.628080579300261456e-20
3.090295432513593399e-01 8.512952442331525593e-02 1.452602544492627434e-01 1.446252052677431399e-01 4.934781648329336634e-02 4.818373779058161832e-02 1.071177885713779053e-20 1.073527080407370862e-20 2.599058326475337788e-20 2.630266495229199621e-20
3.162277660168382742e-01 8.711244577857182869e-02 1.450399946632799086e-01 1.443759282678790667e-01 4.931715682019020830e-02 4.809966590602247211e-02 1.071988622182581789e-20 1.074451134219955885e-20 2.599860499493564929e-20 2.632558503758669816e-20
3.235936569296286036e-01 8.914155530564972507e-02 1.448096528093693602e-01 1.441152886761487562e-01 4.928505974249148408e-02 4.801177769877427309e-02 1.072838757719198225e-20 1.075420182679058778e-20 2.600701839784218392e-20 2.634961750272502121e-20
